Iteration,Best_Yield,Best_Impurity,Best_ImpurityXRatio,Desirability
10,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.057989
dtype: float64
11,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058115
dtype: float64
12,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
13,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
14,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
15,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
16,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
17,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
18,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
19,0.9999401828768312,1.537022487300386e-08,9.442387000292166,Desirability    0.05848
dtype: float64
20,0.9999401828768312,1.537022487300386e-08,9.442387000292166,Desirability    0.05848
dtype: float64
21,0.9999401828768312,1.537022487300386e-08,9.442387000292166,Desirability    0.05848
dtype: float64
22,0.9999651370259698,1.537022487300386e-08,9.442387000292166,Desirability    0.05848
dtype: float64
